position,source_index,db_id,difficulty,question,evidence,gold_sql,valid_sql_baseline_no_evidence,execution_match_baseline_no_evidence,normalized_exact_match_baseline_no_evidence,input_token_count_baseline_no_evidence,output_token_count_baseline_no_evidence,generation_seconds_baseline_no_evidence,predicted_sql_baseline_no_evidence,sql_error_baseline_no_evidence,pipeline_error_baseline_no_evidence,valid_sql_baseline_with_evidence,execution_match_baseline_with_evidence,normalized_exact_match_baseline_with_evidence,input_token_count_baseline_with_evidence,output_token_count_baseline_with_evidence,generation_seconds_baseline_with_evidence,predicted_sql_baseline_with_evidence,sql_error_baseline_with_evidence,pipeline_error_baseline_with_evidence,valid_sql_sft_no_evidence,execution_match_sft_no_evidence,normalized_exact_match_sft_no_evidence,input_token_count_sft_no_evidence,output_token_count_sft_no_evidence,generation_seconds_sft_no_evidence,predicted_sql_sft_no_evidence,sql_error_sft_no_evidence,pipeline_error_sft_no_evidence,valid_sql_sft_with_evidence,execution_match_sft_with_evidence,normalized_exact_match_sft_with_evidence,input_token_count_sft_with_evidence,output_token_count_sft_with_evidence,generation_seconds_sft_with_evidence,predicted_sql_sft_with_evidence,sql_error_sft_with_evidence,pipeline_error_sft_with_evidence,correct_baseline_no_evidence,valid_baseline_no_evidence,correct_baseline_with_evidence,valid_baseline_with_evidence,correct_sft_no_evidence,valid_sft_no_evidence,correct_sft_with_evidence,valid_sft_with_evidence,change_evidence_effect_base,change_evidence_effect_sft,change_sft_effect_no_evidence,change_sft_effect_with_evidence
0,0,debit_card_specializing,simple,What is the ratio of customers who pay in EUR against customers who pay in CZK?,ratio of customers who pay in EUR against customers who pay in CZK = count(Currency = 'EUR') / count(Currency = 'CZK').,"SELECT CAST(SUM(IIF(Currency = 'EUR', 1, 0)) AS FLOAT) / SUM(IIF(Currency = 'CZK', 1, 0)) AS ratio FROM customers",True,False,False,321,72,3.329633412000021,SELECT SUM(CASE WHEN T2.Currency = 'EUR' THEN 1 ELSE 0 END) * 1.0 / SUM(CASE WHEN T2.Currency = 'CZK' THEN 1 ELSE 0 END) FROM transactions_1k AS T1 INNER JOIN customers AS T2 ON T1.CustomerID = T2.CustomerID,,,True,True,False,352,46,1.4081251769998744,SELECT CAST(SUM(CASE WHEN Currency = 'EUR' THEN 1 ELSE 0 END) AS REAL) / SUM(CASE WHEN Currency = 'CZK' THEN 1 ELSE 0 END) FROM customers,,,True,False,False,321,72,5.005480008000177,SELECT CAST(SUM(CASE WHEN T2.Currency = 'EUR' THEN 1 ELSE 0 END) AS REAL) / SUM(CASE WHEN T2.Currency = 'CZK' THEN 1 ELSE 0 END) FROM transactions_1k AS T1 INNER JOIN customers AS T2 ON T1.CustomerID = T2.CustomerID,,,True,False,False,352,71,4.813884564000546,"SELECT CAST(SUM(IIF(T2.Currency = 'EUR', 1, 0)) AS REAL) * 100 / SUM(IIF(T2.Currency = 'CZK', 1, 0)) FROM transactions_1k AS T1 INNER JOIN customers AS T2 ON T1.CustomerID = T2.CustomerID",,,False,True,True,True,False,True,False,True,improved,both_wrong,both_wrong,regressed
1,1,debit_card_specializing,moderate,"In 2012, who had the least consumption in LAM?",Year 2012 can be presented as Between 201201 And 201212; The first 4 strings of the Date values in the yearmonth table can represent year.,"SELECT T1.CustomerID FROM customers AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE T1.Segment = 'LAM' AND SUBSTR(T2.Date, 1, 4) = '2012' GROUP BY T1.CustomerID ORDER BY SUM(T2.Consumption) ASC LIMIT 1",True,False,False,319,60,1.8362182219999568,SELECT T1.CustomerID FROM yearmonth AS T1 INNER JOIN customers AS T2 ON T1.CustomerID = T2.CustomerID WHERE T1.Date LIKE '2012%' AND T2.Segment = 'LAM' ORDER BY T1.Consumption ASC LIMIT 1,,,True,False,False,362,60,1.8305796649999593,SELECT T1.CustomerID FROM customers AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE T2.Date LIKE '2012%' AND T1.Segment = 'LAM' ORDER BY T2.Consumption ASC LIMIT 1,,,True,False,False,319,59,4.0345137769995745,SELECT T1.CustomerID FROM yearmonth AS T1 INNER JOIN customers AS T2 ON T1.CustomerID = T2.CustomerID WHERE T1.Date LIKE '2012%' AND T2.Segment = 'LAM' ORDER BY T1.Consumption LIMIT 1,,,True,False,False,362,59,3.996911793000436,SELECT T1.CustomerID FROM yearmonth AS T1 INNER JOIN customers AS T2 ON T1.CustomerID = T2.CustomerID WHERE T1.Date LIKE '2012%' AND T2.Segment = 'LAM' ORDER BY T1.Consumption LIMIT 1,,,False,True,False,True,False,True,False,True,both_wrong,both_wrong,both_wrong,both_wrong
2,2,debit_card_specializing,moderate,What was the average monthly consumption of customers in SME for the year 2013?,Average Monthly consumption = AVG(Consumption) / 12; Year 2013 can be presented as Between 201301 And 201312; The first 4 strings of the Date values in the yearmonth table can represent year.,"SELECT AVG(T2.Consumption) / 12 FROM customers AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE SUBSTR(T2.Date, 1, 4) = '2013' AND T1.Segment = 'SME'",True,False,False,322,44,1.3507581390000496,"SELECT AVG(Consumption) FROM yearmonth WHERE STRFTIME('%Y', Date) = '2013' AND CustomerID IN ( SELECT CustomerID FROM customers WHERE Segment = 'SME' )",,,True,False,False,379,52,1.5849603489998572,SELECT AVG(Consumption) / 12 FROM yearmonth WHERE Date BETWEEN '201301' AND '201312' AND CustomerID IN ( SELECT CustomerID FROM customers WHERE Segment = 'SME' ),,,True,False,False,322,59,4.097873735000121,"SELECT AVG(T2.Consumption) FROM customers AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE T1.Segment = 'SME' AND STRFTIME('%Y', T2.Date) = '2013'",,,False,False,False,379,77,5.25566065699968,"SELECT CAST(SUM(CASE WHEN SUBSTR(T1.Date, 1, 4) = '2013' THEN T2.Consumption ELSE 0 END) AS REAL) / 12 FROM yearmonth AS T1 INNER JOIN customers AS T2 ON T1.CustomerID = T2.CustomerID WHERE T2.Segment = 'SME'",no such column: T2.Consumption,,False,True,False,True,False,True,False,False,both_wrong,both_wrong,both_wrong,both_wrong
3,3,debit_card_specializing,challenging,What was the difference in gas consumption between CZK-paying customers and EUR-paying customers in 2012?,Year 2012 can be presented as Between 201201 And 201212; The first 4 strings of the Date values in the yearmonth table can represent year; Difference in Consumption = CZK customers consumption in 2012 - EUR customers consumption in 2012,"SELECT SUM(IIF(T1.Currency = 'CZK', T2.Consumption, 0)) - SUM(IIF(T1.Currency = 'EUR', T2.Consumption, 0)) FROM customers AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE SUBSTR(T2.Date, 1, 4) = '2012'",True,False,False,326,91,2.792682754999987,"SELECT SUM(CASE WHEN T1.Currency = 'CZK' THEN T2.Consumption ELSE 0 END) - SUM(CASE WHEN T1.Currency = 'EUR' THEN T2.Consumption ELSE 0 END) AS Difference FROM customers AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE STRFTIME('%Y', T2.Date) = '2012'",,,True,False,False,394,95,2.925608597000064,SELECT SUM(CASE WHEN T1.Currency = 'CZK' THEN T2.Consumption ELSE 0 END) - SUM(CASE WHEN T1.Currency = 'EUR' THEN T2.Consumption ELSE 0 END) AS diff FROM customers AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE T2.Date BETWEEN '201201' AND '201212',,,True,False,False,326,89,6.072208303000025,"SELECT SUM(CASE WHEN T1.Currency = 'CZK' THEN T2.Consumption ELSE 0 END) - SUM(CASE WHEN T1.Currency = 'EUR' THEN T2.Consumption ELSE 0 END) FROM customers AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE STRFTIME('%Y', T2.Date) = '2012'",,,True,True,False,394,82,5.624223589999929,SELECT SUM(CASE WHEN T1.Currency = 'CZK' THEN T2.Consumption ELSE 0 END) - SUM(CASE WHEN T1.Currency = 'EUR' THEN T2.Consumption ELSE 0 END) FROM customers AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE T2.Date LIKE '2012%',,,False,True,False,True,False,True,True,True,both_wrong,improved,both_wrong,improved
4,4,debit_card_specializing,moderate,Which year recorded the most consumption of gas paid in CZK?,The first 4 strings of the Date values in the yearmonth table can represent year.,"SELECT SUBSTR(T2.Date, 1, 4) FROM customers AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE T1.Currency = 'CZK' GROUP BY SUBSTR(T2.Date, 1, 4) ORDER BY SUM(T2.Consumption) DESC LIMIT 1",False,False,False,316,72,2.213650240999982,"SELECT STRFTIME('%Y', T2.Date) FROM transactions_1k AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE T1.Currency = 'CZK' GROUP BY STRFTIME('%Y', T2.Date) ORDER BY SUM(T2.Consumption) DESC LIMIT 1",no such column: T1.Currency,,False,False,False,332,65,2.005623379000099,"SELECT STRFTIME('%Y', T2.Date) AS Year FROM transactions_1k AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE T1.Currency = 'CZK' GROUP BY Year ORDER BY SUM(T2.Consumption) DESC LIMIT 1",no such column: T1.Currency,,True,False,False,316,69,4.706162099000267,"SELECT STRFTIME('%Y', T2.Date) FROM customers AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE T1.Currency = 'CZK' GROUP BY STRFTIME('%Y', T2.Date) ORDER BY SUM(T2.Consumption) DESC LIMIT 1",,,False,False,False,332,67,4.58437292599956,"SELECT SUBSTR(T2.Date, 1, 4) FROM transactions_1k AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE T1.Currency = 'CZK' GROUP BY T2.Date ORDER BY SUM(T2.Consumption) DESC LIMIT 1",no such column: T1.Currency,,False,False,False,False,False,True,False,False,both_wrong,both_wrong,both_wrong,both_wrong
5,5,debit_card_specializing,moderate,What was the gas consumption peak month for SME customers in 2013?,Year 2013 can be presented as Between 201301 And 201312; The first 4 strings of the Date values in the yearmonth table can represent year; The 5th and 6th string of the date can refer to month.,"SELECT SUBSTR(T2.Date, 5, 2) FROM customers AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE SUBSTR(T2.Date, 1, 4) = '2013' AND T1.Segment = 'SME' GROUP BY SUBSTR(T2.Date, 5, 2) ORDER BY SUM(T2.Consumption) DESC LIMIT 1",True,False,False,320,66,2.0316800399999693,"SELECT T2.Date FROM customers AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE T1.Segment = 'SME' AND STRFTIME('%Y', T2.Date) = '2013' ORDER BY T2.Consumption DESC LIMIT 1",,,True,False,False,380,77,2.3716021230000024,"SELECT SUBSTR(Date, 1, 7) AS Month, MAX(Consumption) AS PeakConsumption FROM yearmonth WHERE CustomerID IN ( SELECT CustomerID FROM customers WHERE Segment = 'SME' ) AND Date BETWEEN '201301' AND '201312' GROUP BY Month ORDER BY PeakConsumption DESC LIMIT 1",,,True,False,False,320,66,4.522830927000086,"SELECT T2.Date FROM customers AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE T1.Segment = 'SME' AND STRFTIME('%Y', T2.Date) = '2013' ORDER BY T2.Consumption DESC LIMIT 1",,,True,False,False,380,59,4.027500622999469,SELECT T2.Date FROM customers AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE T1.Segment = 'SME' AND T2.Date LIKE '2013%' ORDER BY T2.Consumption DESC LIMIT 1,,,False,True,False,True,False,True,False,True,both_wrong,both_wrong,both_wrong,both_wrong
6,6,debit_card_specializing,challenging,"What is the difference in the annual average consumption of the customers with the least amount of consumption paid in CZK for 2013 between SME and LAM, LAM and KAM, and KAM and SME?",annual average consumption of customer with the lowest consumption in each segment = total consumption per year / the number of customer with lowest consumption in each segment; Difference in annual average = SME's annual average - LAM's annual average; Difference in annual average = LAM's annual average - KAM's annual average; Year 2013 can be presented as Between 201301 And 201312; The first 4 strings of the Date values in the yearmonth table can represent year.,"SELECT CAST(SUM(IIF(T1.Segment = 'SME', T2.Consumption, 0)) AS REAL) / COUNT(T1.CustomerID) - CAST(SUM(IIF(T1.Segment = 'LAM', T2.Consumption, 0)) AS REAL) / COUNT(T1.CustomerID) , CAST(SUM(IIF(T1.Segment = 'LAM', T2.Consumption, 0)) AS REAL) / COUNT(T1.CustomerID) - CAST(SUM(IIF(T1.Segment = 'KAM', T2.Consumption, 0)) AS REAL) / COUNT(T1.CustomerID) , CAST(SUM(IIF(T1.Segment = 'KAM', T2.Consumption, 0)) AS REAL) / COUNT(T1.CustomerID) - CAST(SUM(IIF(T1.Segment = 'SME', T2.Consumption, 0)) AS REAL) / COUNT(T1.CustomerID) FROM customers AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE T1.Currency = 'CZK' AND T2.Consumption = ( SELECT MIN(Consumption) FROM yearmonth ) AND T2.Date BETWEEN 201301 AND 201312",True,False,False,349,204,6.196563857000001,"SELECT AVG(CASE WHEN T1.Segment = 'SME' THEN T2.Consumption ELSE NULL END) - AVG(CASE WHEN T1.Segment = 'LAM' THEN T2.Consumption ELSE NULL END) AS diff1, AVG(CASE WHEN T1.Segment = 'LAM' THEN T2.Consumption ELSE NULL END) - AVG(CASE WHEN T1.Segment = 'KAM' THEN T2.Consumption ELSE NULL END) AS diff2, AVG(CASE WHEN T1.Segment = 'KAM' THEN T2.Consumption ELSE NULL END) - AVG(CASE WHEN T1.Segment = 'SME' THEN T2.Consumption ELSE NULL END) AS diff3 FROM customers AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE STRFTIME('%Y', T2.Date) = '2013' AND T1.Currency = 'CZK'",,,False,False,False,454,237,7.137049624999918,"WITH low_consumption AS (
    SELECT 
        Segment, 
        AVG(Consumption) AS avg_consumption
    FROM 
        yearmonth
    WHERE 
        Date BETWEEN '201301' AND '201312'
    GROUP BY 
        Segment
),
sme_avg AS (
    SELECT 
        avg_consumption AS sme_avg
    FROM 
        low_consumption
    WHERE 
        Segment = 'SME'
),
lam_avg AS (
    SELECT 
        avg_consumption AS lam_avg
    FROM 
        low_consumption
    WHERE 
        Segment = 'LAM'
),
kam_avg AS (
    SELECT 
        avg_consumption AS kam_avg
    FROM 
        low_consumption
    WHERE 
        Segment = 'KAM'
)
SELECT 
    (lam_avg.lam_avg - sme_avg.sme_avg) AS diff_lam_sme,
    (lam_avg.lam_avg - kam_avg.kam_avg) AS diff_lam_kam,
    (kam_avg.kam_avg - sme_avg.sme_avg) AS diff_kam_sme;",no such column: lam_avg.lam_avg,,False,False,False,349,248,16.847715873000197,SELECT AVG(T2.Consumption) - AVG(T1.Consumption) FROM yearmonth AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE T1.Date LIKE '2013%' AND T2.Date LIKE '2014%' AND T1.Segment = 'SME' AND T2.Segment = 'LAM' UNION ALL SELECT AVG(T2.Consumption) - AVG(T1.Consumption) FROM yearmonth AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE T1.Date LIKE '2013%' AND T2.Date LIKE '2014%' AND T1.Segment = 'LAM' AND T2.Segment = 'KAM' UNION ALL SELECT AVG(T2.Consumption) - AVG(T1.Consumption) FROM yearmonth AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE T1.Date LIKE '2013%' AND T2.Date LIKE '2014%' AND T1.Segment = 'KAM' AND T2.Segment = 'SME',no such column: T1.Segment,,False,False,False,454,146,9.953982633999658,"SELECT AVG(T2.Consumption) - AVG(T3.Consumption), AVG(T3.Consumption) - AVG(T1.Consumption), AVG(T1.Consumption) - AVG(T2.Consumption) FROM customers AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID INNER JOIN yearmonth AS T3 ON T1.CustomerID = T3.CustomerID WHERE T1.Currency = 'CZK' AND T2.Date BETWEEN '201301' AND '201312' AND T3.Date BETWEEN '201301' AND '201312' GROUP BY T1.Segment",no such column: T1.Consumption,,False,True,False,False,False,False,False,False,both_wrong,both_wrong,both_wrong,both_wrong
7,7,debit_card_specializing,challenging,"Which of the three segments—SME, LAM and KAM—has the biggest and lowest percentage increases in consumption paid in EUR between 2012 and 2013?",Increase or Decrease = consumption for 2013 - consumption for 2012; Percentage of Increase = (Increase or Decrease / consumption for 2013) * 100%; The first 4 strings of the Date values in the yearmonth table can represent year,"SELECT CAST((SUM(IIF(T1.Segment = 'SME' AND T2.Date LIKE '2013%', T2.Consumption, 0)) - SUM(IIF(T1.Segment = 'SME' AND T2.Date LIKE '2012%', T2.Consumption, 0))) AS FLOAT) * 100 / SUM(IIF(T1.Segment = 'SME' AND T2.Date LIKE '2012%', T2.Consumption, 0)), CAST(SUM(IIF(T1.Segment = 'LAM' AND T2.Date LIKE '2013%', T2.Consumption, 0)) - SUM(IIF(T1.Segment = 'LAM' AND T2.Date LIKE '2012%', T2.Consumption, 0)) AS FLOAT) * 100 / SUM(IIF(T1.Segment = 'LAM' AND T2.Date LIKE '2012%', T2.Consumption, 0)) , CAST(SUM(IIF(T1.Segment = 'KAM' AND T2.Date LIKE '2013%', T2.Consumption, 0)) - SUM(IIF(T1.Segment = 'KAM' AND T2.Date LIKE '2012%', T2.Consumption, 0)) AS FLOAT) * 100 / SUM(IIF(T1.Segment = 'KAM' AND T2.Date LIKE '2012%', T2.Consumption, 0)) FROM customers AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID",True,False,False,343,91,2.8040679599999976,"SELECT T1.Segment, MAX(T2.Consumption) - MIN(T2.Consumption) AS PercentageIncrease FROM customers AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE T1.Currency = 'EUR' AND T2.Date LIKE '%/%/12' OR T2.Date LIKE '%/%/13' GROUP BY T1.Segment ORDER BY PercentageIncrease DESC LIMIT 1",,,True,False,False,404,163,4.962802940000074,"SELECT T1.Segment, MAX(T2.IncreaseOrDecrease), MIN(T2.IncreaseOrDecrease) FROM customers AS T1 INNER JOIN ( SELECT T1.Segment, SUM(CASE WHEN SUBSTR(T2.Date, 1, 4) = '2013' THEN T2.Consumption ELSE 0 END) - SUM(CASE WHEN SUBSTR(T2.Date, 1, 4) = '2012' THEN T2.Consumption ELSE 0 END) AS IncreaseOrDecrease FROM customers AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE T1.Currency = 'EUR' GROUP BY T1.Segment ) AS T2 ON T1.Segment = T2.Segment",,,True,False,False,343,95,6.461917183999958,"SELECT T2.Segment, CAST((T1.Consumption - T1.Consumption) AS REAL) * 100 / T1.Consumption FROM yearmonth AS T1 INNER JOIN customers AS T2 ON T1.CustomerID = T2.CustomerID WHERE T2.Currency = 'EUR' AND T1.Date LIKE '%/%/12' GROUP BY T2.Segment ORDER BY SUM(T1.Consumption) DESC LIMIT 1",,,True,False,False,404,232,15.804526998000256,"SELECT T1.Segment, CAST((SUM(CASE WHEN SUBSTR(T2.Date, 1, 4) = '2013' THEN T2.Consumption ELSE 0 END) - SUM(CASE WHEN SUBSTR(T2.Date, 1, 4) = '2012' THEN T2.Consumption ELSE 0 END)) AS REAL) * 100 / SUM(CASE WHEN SUBSTR(T2.Date, 1, 4) = '2013' THEN T2.Consumption ELSE 0 END) FROM customers AS T1 INNER JOIN yearmonth AS T2 ON T1.CustomerID = T2.CustomerID WHERE T1.Currency = 'EUR' GROUP BY T1.Segment ORDER BY SUM(CASE WHEN SUBSTR(T2.Date, 1, 4) = '2013' THEN T2.Consumption ELSE 0 END) - SUM(CASE WHEN SUBSTR(T2.Date, 1, 4) = '2012' THEN T2.Consumption ELSE 0 END) DESC LIMIT 1",,,False,True,False,True,False,True,False,True,both_wrong,both_wrong,both_wrong,both_wrong
8,8,debit_card_specializing,simple,How much did customer 6 consume in total between August and November 2013?,Between August And November 2013 refers to Between 201308 And 201311; The first 4 strings of the Date values in the yearmonth table can represent year; The 5th and 6th string of the date can refer to month.,SELECT SUM(Consumption) FROM yearmonth WHERE CustomerID = 6 AND Date BETWEEN '201308' AND '201311',True,False,False,322,38,1.178255001000025,SELECT SUM(Consumption) FROM yearmonth WHERE CustomerID = 6 AND Date BETWEEN '2013-08' AND '2013-11',,,True,True,True,383,36,1.1089243110000098,SELECT SUM(Consumption) FROM yearmonth WHERE CustomerID = 6 AND Date BETWEEN '201308' AND '201311',,,True,False,False,322,38,2.5549946640003327,SELECT SUM(Consumption) FROM yearmonth WHERE CustomerID = 6 AND Date BETWEEN '2013-08' AND '2013-11',,,True,True,True,383,36,2.4674103570005173,SELECT SUM(Consumption) FROM yearmonth WHERE CustomerID = 6 AND Date BETWEEN '201308' AND '201311',,,False,True,True,True,False,True,True,True,improved,improved,both_wrong,both_correct
9,9,debit_card_specializing,simple,"How many more ""discount"" gas stations does the Czech Republic have compared to Slovakia?","Czech Republic can be represented as the Country value in gasstations table is 'CZE'; Slovakia can be represented as the Country value in the gasstations table is 'SVK';  Computation of more ""discount"" gas stations= Total no. of discount gas stations in Czech Republic - Total no. of discount gas stations in Slovakia","SELECT SUM(IIF(Country = 'CZE', 1, 0)) - SUM(IIF(Country = 'SVK', 1, 0)) FROM gasstations WHERE Segment = 'Discount'",True,False,False,320,52,1.5946300570000176,SELECT SUM(CASE WHEN Country = 'Czech Republic' THEN 1 ELSE 0 END) - SUM(CASE WHEN Country = 'Slovakia' THEN 1 ELSE 0 END) AS difference FROM gasstations WHERE Segment = 'discount',,,True,True,False,387,50,1.5430326470000182,SELECT SUM(CASE WHEN Country = 'CZE' THEN 1 ELSE 0 END) - SUM(CASE WHEN Country = 'SVK' THEN 1 ELSE 0 END) AS difference FROM gasstations WHERE Segment LIKE '%Discount%',,,True,False,False,320,50,3.3978730909998376,SELECT SUM(CASE WHEN Country = 'Czech Republic' THEN 1 ELSE 0 END) - SUM(CASE WHEN Country = 'Slovakia' THEN 1 ELSE 0 END) FROM gasstations WHERE Segment = 'Discount',,,True,False,False,387,72,4.94010852700012,SELECT SUM(CASE WHEN T2.Country = 'CZE' THEN 1 ELSE 0 END) - SUM(CASE WHEN T2.Country = 'SVK' THEN 1 ELSE 0 END) FROM transactions_1k AS T1 INNER JOIN gasstations AS T2 ON T1.GasStationID = T2.GasStationID,,,False,True,True,True,False,True,False,True,improved,both_wrong,both_wrong,regressed
